iter	Passed	Remaining
0	119	119848
1	121	60712
2	122	40813
3	124	30888
4	125	24940
5	126	20954
6	128	18263
7	130	16228
8	132	14622
9	134	13278
10	135	12170
11	136	11262
12	137	10476
13	139	9800
14	142	9351
15	145	8962
16	146	8499
17	148	8105
18	149	7735
19	150	7386
20	152	7089
21	153	6802
22	154	6550
23	155	6343
24	157	6138
25	158	5940
26	159	5749
27	160	5583
28	162	5425
29	163	5277
30	164	5131
31	164	4990
32	165	4860
33	166	4736
34	167	4625
35	168	4518
36	170	4429
37	171	4345
38	172	4256
39	173	4170
40	174	4086
41	175	4006
42	176	3928
43	177	3855
44	178	3783
45	179	3715
46	179	3648
47	180	3581
48	181	3519
49	182	3463
50	184	3433
51	185	3387
52	186	3340
53	187	3289
54	188	3239
55	189	3191
56	190	3145
57	190	3099
58	191	3055
59	192	3011
60	192	2967
61	193	2925
62	194	2885
63	194	2846
64	195	2813
65	196	2780
66	198	2763
67	199	2739
68	201	2713
69	201	2682
70	202	2651
71	203	2621
72	204	2591
73	204	2564
74	205	2539
75	206	2510
76	207	2483
77	207	2456
78	208	2430
79	209	2404
80	209	2379
81	210	2355
82	210	2328
83	211	2305
84	213	2295
85	214	2280
86	215	2261
87	216	2240
88	216	2220
89	217	2199
90	218	2180
91	219	2161
92	219	2141
93	220	2123
94	220	2104
95	221	2086
96	222	2068
97	222	2050
98	223	2032
99	223	2015
100	224	1998
101	225	1981
102	226	1971
103	228	1965
104	229	1955
105	230	1942
106	231	1928
107	231	1915
108	232	1901
109	233	1888
110	234	1875
111	234	1862
112	235	1848
113	236	1834
114	236	1820
115	237	1807
116	237	1793
117	238	1781
118	239	1769
119	239	1757
120	241	1756
121	242	1748
122	244	1740
123	244	1729
124	245	1719
125	246	1708
126	247	1698
127	248	1692
128	249	1683
129	249	1672
130	250	1663
131	251	1653
132	251	1642
133	252	1633
134	253	1623
135	253	1613
136	255	1610
137	257	1605
138	258	1599
139	258	1590
140	259	1582
141	260	1572
142	261	1564
143	261	1557
144	262	1548
145	263	1539
146	263	1530
147	264	1521
148	264	1512
149	265	1505
150	266	1496
151	267	1490
152	268	1483
153	268	1475
154	269	1471
155	271	1470
156	272	1463
157	273	1457
158	274	1450
159	274	1443
160	275	1434
161	276	1427
162	276	1420
163	277	1413
164	278	1406
165	278	1399
166	279	1392
167	279	1385
168	280	1378
169	281	1372
170	281	1366
171	282	1360
172	283	1354
173	285	1353
174	286	1350
175	287	1345
176	288	1340
177	289	1335
178	289	1329
179	290	1323
180	291	1318
181	292	1312
182	292	1307
183	293	1300
184	293	1294
185	294	1288
186	295	1282
187	295	1276
188	296	1271
189	296	1265
190	297	1260
191	300	1263
192	302	1263
193	303	1260
